Datetime,S1,S2,S3,T,P
09/17/2020 06:04:18,0,0,1.07,28,0.38627
09/17/2020 06:04:19,0,0.92,0,28,0.33212
09/17/2020 06:04:20,0,0.86,0,28,0.31046
09/17/2020 06:04:20,0,0.86,0,28,0.31046
09/17/2020 06:04:21,0,0.87,0,28,0.31407
09/17/2020 06:04:22,1.72,1.26,0,28,1.07578
09/17/2020 06:04:23,0,1.38,0,28,0.49818
09/17/2020 06:04:24,0,1.38,0,28,0.49818
09/17/2020 06:04:25,0,1.36,0,28,0.49096
09/17/2020 06:04:26,0,1,0,28,0.361
09/17/2020 06:04:27,0,0.99,0,28,0.35739
09/17/2020 06:04:28,0,0.98,0,28,0.35378
09/17/2020 06:04:29,0,0.98,0,28,0.35378
09/17/2020 06:04:29,0,0.99,0,28,0.35739
09/17/2020 06:04:30,0,0.98,0,28,0.35378
09/17/2020 06:04:31,0,0.98,0,28,0.35378
09/17/2020 06:04:32,0,0.98,0,28,0.35378
09/17/2020 06:04:33,0,0.97,0,28,0.35017
09/17/2020 06:04:34,0,0.99,0,28,0.35739
09/17/2020 06:04:35,0,0.99,0,28,0.35739
09/17/2020 06:04:36,0,0.98,0,28,0.35378
09/17/2020 06:04:37,0,0.99,0,28,0.35739
09/17/2020 06:04:38,0,0.98,0,28,0.35378
09/17/2020 06:04:38,3.24,1.53,0.95,28,2.06492
09/17/2020 06:04:39,1.8,1.52,0.95,28,1.54147
09/17/2020 06:04:40,1.81,1.52,0.92,28,1.53425
09/17/2020 06:04:41,1.79,1.52,0.92,28,1.52703
09/17/2020 06:04:42,1.79,1.53,0.91,28,1.52703
09/17/2020 06:04:43,1.8,1.51,0.75,28,1.46566
09/17/2020 06:04:44,0,1.19,0.75,28,0.70034
09/17/2020 06:04:45,0,2.21,0.82,28,1.09383
09/17/2020 06:04:46,0,1.24,0.74,28,0.71478
09/17/2020 06:04:46,2.17,2.12,1.47,28,2.07936
09/17/2020 06:04:47,0,1.25,2.02,28,1.18047
09/17/2020 06:04:48,1.81,1.19,0,28,1.083
09/17/2020 06:04:49,0,0.98,0,28,0.35378
09/17/2020 06:04:50,0,0.98,0,28,0.35378
09/17/2020 06:04:51,0,0.97,0.86,28,0.66063
09/17/2020 06:04:52,2.13,1.36,1.01,28,1.6245
09/17/2020 06:04:53,0,1.28,0.98,28,0.81586
09/17/2020 06:04:54,0,1.3,1.01,28,0.83391
09/17/2020 06:04:55,0,1.3,0.97,28,0.81947
09/17/2020 06:04:55,0,1.28,0.96,28,0.80864
09/17/2020 06:04:56,0,1.29,0.96,28,0.81225
09/17/2020 06:04:57,0,1.31,0.96,28,0.81947
09/17/2020 06:04:58,0,1.32,0.94,28,0.81586
09/17/2020 06:04:59,0,1.32,0.96,28,0.82308
09/17/2020 06:05:00,0,1.34,0.93,28,0.81947
09/17/2020 06:05:01,1.7,1.33,0.93,28,1.42956
09/17/2020 06:05:02,0,1.33,0.93,28,0.81586
09/17/2020 06:05:03,0,1.32,0.92,28,0.80864
09/17/2020 06:05:04,0,1.33,0.93,28,0.81586
09/17/2020 06:05:04,0,1.34,0.93,28,0.81947
09/17/2020 06:05:05,0,1.33,0.92,28,0.81225
09/17/2020 06:05:06,0,1.34,0.93,28,0.81947
09/17/2020 06:05:07,0,1.34,0.92,28,0.81586
09/17/2020 06:05:08,0,1.34,0.94,28,0.82308
09/17/2020 06:05:09,0,1.34,0.95,28,0.82669
09/17/2020 06:05:10,0,1.32,0.93,28,0.81225
09/17/2020 06:05:11,0,1.33,0.97,28,0.8303
09/17/2020 06:05:12,0,1.3,0.97,28,0.81947
09/17/2020 06:05:13,0,1.3,0.95,28,0.81225
09/17/2020 06:05:13,0,1.29,0.95,28,0.80864
09/17/2020 06:05:14,0,1.33,0.98,28,0.83391
09/17/2020 06:05:15,0,1.3,0.96,28,0.81586
09/17/2020 06:05:16,1.71,1.3,0.96,28,1.43317
09/17/2020 06:05:17,1.72,1.3,0.94,28,1.42956
09/17/2020 06:05:18,1.72,1.28,0.98,28,1.43678
09/17/2020 06:05:19,1.72,1.33,0.93,28,1.43678
09/17/2020 06:05:20,1.71,1.32,0.92,28,1.42595
09/17/2020 06:05:21,0,1.32,0.9,28,0.80142
09/17/2020 06:05:22,1.7,1.33,0.9,28,1.41873
09/17/2020 06:05:22,0,1.34,0.91,28,0.81225
09/17/2020 06:05:23,0,1.34,0.91,28,0.81225
09/17/2020 06:05:24,0,1.34,0.92,28,0.81586
09/17/2020 06:05:25,0,1.33,0.91,28,0.80864
09/17/2020 06:05:26,0,1.33,0.92,28,0.81225
09/17/2020 06:05:27,1.71,1.33,0.93,28,1.43317
09/17/2020 06:05:28,0,1.32,0.94,28,0.81586
09/17/2020 06:05:29,0,1.31,0.96,28,0.81947
09/17/2020 06:05:30,0,1.29,0.96,28,0.81225
09/17/2020 06:05:31,0,1.3,0.99,28,0.82669
09/17/2020 06:05:31,0,1.3,0.96,28,0.81586
09/17/2020 06:05:32,0,1.31,0.98,28,0.82669
09/17/2020 06:05:33,0,1.3,0.95,28,0.81225
09/17/2020 06:05:34,0,1.29,0.94,28,0.80503
09/17/2020 06:05:35,0,1.3,0.95,28,0.81225
09/17/2020 06:05:36,0,1.3,0.94,28,0.80864
09/17/2020 06:05:37,1.71,1.32,0.92,28,1.42595
09/17/2020 06:05:38,0,1.32,0.92,28,0.80864
